id;dados;timestamp;sensor_id
1;23.5;2024-05-10T08:30:00Z;1
2;18.2;2024-05-10T09:00:00Z;1
3;24.8;2024-05-10T09:30:00Z;1
4;21.3;2024-05-10T10:00:00Z;1
5;20.7;2024-05-10T10:30:00Z;1
6;19.5;2024-05-10T11:00:00Z;1
7;22.1;2024-05-10T11:30:00Z;1
8;25.6;2024-05-10T12:00:00Z;1
9;27.3;2024-05-10T12:30:00Z;1
10;26.8;2024-05-10T13:00:00Z;1
11;12.4;2024-05-10T08:30:00Z;2
12;14.7;2024-05-10T09:00:00Z;2
13;11.9;2024-05-10T09:30:00Z;2
14;15.2;2024-05-10T10:00:00Z;2
15;13.8;2024-05-10T10:30:00Z;2
16;12.6;2024-05-10T11:00:00Z;2
17;13.5;2024-05-10T11:30:00Z;2
18;11.8;2024-05-10T12:00:00Z;2
19;14.3;2024-05-10T12:30:00Z;2
20;15.6;2024-05-10T13:00:00Z;2
21;780.0;2024-05-10T08:30:00Z;3
22;785.0;2024-05-10T09:00:00Z;3
23;790.0;2024-05-10T09:30:00Z;3
24;795.0;2024-05-10T10:00:00Z;3
25;800.0;2024-05-10T10:30:00Z;3
26;805.0;2024-05-10T11:00:00Z;3
27;810.0;2024-05-10T11:30:00Z;3
28;815.0;2024-05-10T12:00:00Z;3
29;820.0;2024-05-10T12:30:00Z;3
30;825.0;2024-05-10T13:00:00Z;3
31;74;2024-05-10T08:30:00Z;4
32;72;2024-05-10T09:00:00Z;4
33;71;2024-05-10T09:30:00Z;4
34;73;2024-05-10T10:00:00Z;4
35;75;2024-05-10T10:30:00Z;4
36;77;2024-05-10T11:00:00Z;4
37;79;2024-05-10T11:30:00Z;4
38;81;2024-05-10T12:00:00Z;4
39;83;2024-05-10T12:30:00Z;4
40;85;2024-05-10T13:00:00Z;4
